time,node,protocol,latency_ms,jitter_ms,packet_status,collision,distance_m,snr_db,deadline_500ms,deadline_1000ms,num_nodes,farm_radius
30,4,NB-IoT,339.182,20.003,DELIVERED,0,34.7729,56.7955,1,1,10,100
30,5,NB-IoT,381.002,15.9982,DELIVERED,0,90.0031,44.0395,1,1,10,100
30,6,NB-IoT,409.008,32.0125,DELIVERED,0,90.0113,33.5134,1,1,10,100
30,7,NB-IoT,381.979,6,DELIVERED,0,89.9685,31.969,1,1,10,100
30,8,NB-IoT,385.402,9.00598,DELIVERED,0,71.1032,48.0534,1,1,10,100
30,9,NB-IoT,380.963,9.00265,DELIVERED,0,70.4449,56.4203,1,1,10,100
30,10,NB-IoT,368.651,5.00581,DELIVERED,0,87.976,47.1946,1,1,10,100
30,11,NB-IoT,382.78,5.99421,DELIVERED,0,80.67,27.7483,1,1,10,100
30,12,NB-IoT,339.3,1.00252,DELIVERED,0,15.45,68.3819,1,1,10,100
30,13,NB-IoT,349.624,2.02369,DELIVERED,0,54.9364,41.3561,1,1,10,100
35,4,NB-IoT,363.171,23.9887,DELIVERED,0,34.756,50.2796,1,1,10,100
35,5,NB-IoT,355.998,25.0043,DELIVERED,0,89.9967,34.6574,1,1,10,100
35,6,NB-IoT,360.011,48.997,DELIVERED,0,90.0159,40.7312,1,1,10,100
35,7,NB-IoT,381.987,0.00757057,DELIVERED,0,89.9798,33.851,1,1,10,100
35,8,NB-IoT,359.398,26.0045,DELIVERED,0,71.0965,44.6676,1,1,10,100
35,9,NB-IoT,346.974,33.9896,DELIVERED,0,70.4605,36.6073,1,1,10,100
35,10,NB-IoT,390.648,21.9973,DELIVERED,0,87.972,39.5843,1,1,10,100
35,11,NB-IoT,386.777,3.99735,DELIVERED,0,80.666,31.0688,1,1,10,100
35,12,NB-IoT,328.3,11.0004,DELIVERED,0,15.4493,67.4455,1,1,10,100
35,13,NB-IoT,365.613,15.989,DELIVERED,0,54.9199,49.8392,1,1,10,100
40,4,NB-IoT,330.17,33.001,DELIVERED,0,34.7545,56.5131,1,1,10,100
40,5,NB-IoT,410.995,54.9973,DELIVERED,0,89.9926,37.4017,1,1,10,100
40,6,NB-IoT,359.015,0.995612,DELIVERED,0,90.0224,38.7545,1,1,10,100
40,7,NB-IoT,394.993,13.0064,DELIVERED,0,89.9894,39.192,1,1,10,100
40,8,NB-IoT,379.393,19.9951,DELIVERED,0,71.0892,31.8442,1,1,10,100
40,9,NB-IoT,367.98,21.0067,DELIVERED,0,70.4705,48.562,1,1,10,100
40,10,NB-IoT,356.641,34.0074,DELIVERED,0,87.961,31.8678,1,1,10,100
40,11,NB-IoT,394.772,7.99455,DELIVERED,0,80.6579,44.9868,1,1,10,100
40,12,NB-IoT,355.3,27,DELIVERED,0,15.4493,61.4745,1,1,10,100
40,13,NB-IoT,358.613,7,DELIVERED,0,54.9199,39.3956,1,1,10,100
45,4,NB-IoT,357.165,26.9952,DELIVERED,0,34.7473,47.061,1,1,10,100
45,5,NB-IoT,402.998,7.99747,DELIVERED,0,89.9964,46.6947,1,1,10,100
45,6,NB-IoT,380.013,20.9978,DELIVERED,0,90.0192,31.859,1,1,10,100
45,7,NB-IoT,372.985,22.008,DELIVERED,0,89.9774,42.8984,1,1,10,100
45,8,NB-IoT,357.405,21.9878,DELIVERED,0,71.1074,36.562,1,1,10,100
45,9,NB-IoT,353.969,14.0112,DELIVERED,0,70.4537,44.9889,1,1,10,100
45,10,NB-IoT,377.646,21.005,DELIVERED,0,87.9684,38.5384,1,1,10,100
45,11,NB-IoT,387.776,6.99552,DELIVERED,0,80.6646,37.4847,1,1,10,100
