time,node,species,actual_x,actual_y,actual_z,est_x,est_y,est_z,error_m,temp_c,do_mgl,ph,toa_h1,toa_h2,toa_h3,toa_h4
0,41,Tilapia,258.23,62.4708,-0.158534,258.264,62.5404,0,0.0776227,19.9,6.7,7.3,0.582876,0.364834,0.538216,0.288254
0,42,Tilapia,-262.879,-386.9,-1.62401,-262.828,-386.862,0,0.0642732,25.6,6.5,7.3,0.131688,0.47705,0.571653,0.732917
0,43,Tilapia,291.045,343.21,-0.396646,291.026,343.167,0,0.0469814,24.5,5.5,7,0.723652,0.539306,0.499136,0.1277
0,44,Tilapia,-187.549,-238.238,-1.1287,-187.537,-238.13,0,0.108481,24.3,5.8,7.4,0.224911,0.447908,0.491016,0.625439
0,45,Tilapia,-12.1861,-373.264,-1.20796,-12.2973,-373.271,0,0.111454,18.7,6.4,8.3,0.296257,0.31244,0.621642,0.629424
0,46,Tilapia,43.0003,144.752,-0.178331,43.0074,144.897,0,0.144437,20,5.6,7.6,0.515088,0.480499,0.386495,0.339129
0,47,Tilapia,-414.223,-187.784,-1.86134,-414.262,-187.678,0,0.112797,23.2,6.6,8.9,0.176529,0.602137,0.425802,0.716097
0,48,Tilapia,-439.503,59.7661,-0.89156,-439.537,59.8478,0,0.0884876,25.1,6.2,8.4,0.33994,0.68348,0.260158,0.647543
0,49,Tilapia,-176.256,294.971,-0.0797723,-176.283,294.976,0,0.0280038,22.9,6.6,8.7,0.52913,0.648939,0.209762,0.430088
0,50,Tilapia,134.264,-429.503,-1.08905,134.223,-429.537,0,0.0536838,21.4,6.2,8.6,0.389739,0.210982,0.703955,0.623012
0,51,Tilapia,182.529,409.686,-1.96026,182.512,409.671,0,0.0219423,21.8,6.3,8,0.711505,0.600278,0.422561,0.180285
0,52,Tilapia,368.691,-134.917,-0.218301,368.697,-134.978,0,0.0609057,25.6,4.9,8.1,0.584819,0.216929,0.670877,0.393713
0,53,Tilapia,-196.016,-405.065,-1.98005,-196.007,-405.18,0,0.115587,25.9,5.2,7,0.171942,0.431733,0.594779,0.714443
5,4,Tilapia,-149.73,-88.0012,-0.757442,-149.767,-88.0366,0,0.0514634,22.1421,5.78115,8.00052,0.313519,0.467037,0.410775,0.53714
5,5,Tilapia,413.65,177.159,-0.908234,413.599,177.168,0,0.0512485,22.0617,5.86503,8.00549,0.71155,0.418871,0.603865,0.183483
5,6,Tilapia,-363.458,265.326,-0.606862,-363.505,265.354,0,0.0540796,22.0643,5.65615,7.98087,0.480391,0.722207,0.135949,0.556148
5,7,Tilapia,258.99,-368,-0.832582,259.01,-368.034,0,0.0391262,22.111,5.76681,7.99437,0.475831,0.138566,0.721695,0.560034
5,8,Tilapia,-89.8649,-344.072,-0.855439,-89.8286,-344,0,0.0802639,22.1279,5.70149,7.9867,0.250346,0.366804,0.581291,0.640144
5,9,Tilapia,-169.317,309.127,-0.512843,-169.275,309.117,0,0.0429335,21.9371,5.61108,8.01396,0.539576,0.653101,0.209391,0.423411
5,10,Tilapia,-438.693,-30.9341,-1.37868,-438.68,-30.8758,0,0.0598235,22.09,5.86812,8.00607,0.279556,0.655041,0.320694,0.673701
5,11,Tilapia,37.1836,401.617,-0.493748,37.2014,401.682,0,0.0672592,22.064,5.78397,8.01542,0.654139,0.630903,0.32637,0.277128
5,12,Tilapia,62.0604,46.0527,-0.776277,62.0135,45.9743,0,0.091342,22.1174,5.6387,7.98952,0.475246,0.419815,0.43483,0.373452
5,13,Tilapia,-173.554,213.19,-1.157,-173.521,213.328,0,0.142324,21.9286,5.64014,7.99899,0.479066,0.606883,0.242598,0.444594
5,14,Tilapia,-163.661,-309.458,-0.983042,-163.621,-309.501,0,0.0584011,22.2333,5.83784,7.98787,0.212678,0.419665,0.541123,0.650995
5,15,Tilapia,-332.059,-316.425,-0.512688,-331.988,-316.498,0,0.101905,22.1614,5.69043,8.02179,0.118803,0.528939,0.517089,0.729925
5,16,Tilapia,181.981,-410.341,-1.98131,181.899,-410.369,0,0.0872034,22.1943,5.80311,7.99907,0.422072,0.180655,0.711638,0.60076
5,17,Tilapia,312.833,243.924,-1.11499,312.813,243.993,0,0.0711886,22.0565,5.67657,8.02435,0.687529,0.47158,0.526717,0.16505
5,18,Tilapia,-253.167,296.763,-1.74038,-253.15,296.705,0,0.0605511,22.1431,5.67554,8.00079,0.514839,0.68387,0.166381,0.479764
